"id","__updatetime","page_video_repeat_views","page_video_views_unique","page_video_views_click_to_play","page_video_views_autoplayed","page_video_views_organic","page_video_views","page_consumptions_unique","page_consumptions","page_engaged_users","page_posts_impressions_viral_unique","page_posts_impressions_viral","page_posts_impressions_organic_unique","page_posts_impressions_organic","page_posts_impressions_unique","page_posts_impressions","page_impressions_viral_unique","page_impressions_viral","page_impressions_organic_unique","page_impressions_organic","page_impressions_unique","page_impressions","page_views_logout","page_views_login_unique","page_views_login","page_views_unique","page_views","date","pageid","pagename","__senttime","page_video_complete_views_30s_unique","page_video_complete_views_30s_click_to_play","page_video_complete_views_30s_organic","page_video_complete_views_30s","page_fan_removes_unique","page_fan_removes","page_video_complete_views_30s_repeat_views","page_video_complete_views_30s_autoplayed","page_fan_adds_unique","page_fan_adds","page_negative_feedback_unique","page_negative_feedback","page_video_complete_views_30s_paid","page_video_views_paid","page_posts_impressions_paid_unique","page_posts_impressions_paid","page_impressions_paid_unique","page_impressions_paid","page_places_checkin_total_unique","page_places_checkin_total"
"2018-07-17T07:00:00+0000-140325787269","2018-08-15 00:09:00","194","18651","214","18631","10444","18845","4724","6312","6014","6642","9134","131812","215319","342737","519683","7324","10268","132603","216482","343193","521197","90","192","351","192","351","2018-07-17 07:00:00","140325787269","Bass Pro Shops","2018-08-15 00:08:09","2971","140","1550","2840","286","293","","2700","415","418","82","91","1290","8401","214860","304364","214860","304364","",""
"2018-07-17T07:00:00+0000-190277544513","2018-08-15 00:09:00","","","","","","","2","4","6","","","146","191","146","191","","","146","191","146","192","","1","1","1","1","2018-07-17 07:00:00","190277544513","SocialEngine","2018-08-15 00:08:19","","","","","1","1","","","1","1","","","","","","","","","",""
"2018-07-17T07:00:00+0000-47962719465","2018-08-15 00:09:00","451","10187","10","10628","85","10638","426","536","534","579","735","5380","8443","104947","126994","589","749","5382","8457","104947","127103","5","67","95","67","95","2018-07-17 07:00:00","47962719465","Natural Grocers","2018-08-15 00:07:51","740","3","21","731","9","9","","728","35","35","9","14","710","10553","101874","118551","101874","118551","",""
"2018-07-17T07:00:00+0000-348267158692701","2018-08-15 00:09:00","20","100","9","111","120","120","59","91","98","468","618","520","1143","520","1143","4068","6138","4097","6663","4120","6736","","38","73","38","73","2018-07-17 07:00:00","348267158692701","CW Hemp","2018-08-15 00:08:56","31","7","35","35","6","6","4","28","26","26","","","","","","","","","",""
"2018-07-18T07:00:00+0000-190277544513","2018-08-16 00:04:13","","1","1","","1","1","1","1","1","1","5","37","65","37","65","1","5","37","65","40","74","","6","9","6","9","2018-07-18 07:00:00","190277544513","SocialEngine","2018-08-16 00:03:37","1","1","1","1","","","","","","","","","","","","","","","",""
"2018-07-17T07:00:00+0000-145320618973967","2018-08-15 00:09:00","71","4097","14","4154","15","4168","52","59","63","42","48","73","103","18777","20570","42","48","73","103","18777","20573","","2","3","2","3","2018-07-17 07:00:00","145320618973967","Ooma Office","2018-08-15 00:08:37","1119","7","","1112","","","","1105","3","3","","","1112","4153","18657","20467","18657","20467","",""
"2018-07-17T07:00:00+0000-20197613568","2018-08-15 00:09:00","3","4","1","6","7","7","3","5","3","2","2","3","27","3","27","3","3","4","28","7","34","3","4","6","4","6","2018-07-17 07:00:00","20197613568","Room 214","2018-08-15 00:07:44","","","","","","","","","","","","","","","","","","","",""
"2018-07-17T07:00:00+0000-52792309248","2018-08-15 00:09:00","634","4061","848","3847","25","4695","1556","1943","1623","118","150","1679","2442","111857","137627","118","150","1679","2442","111857","137656","2","20","29","20","29","2018-07-17 07:00:00","52792309248","Ooma","2018-08-15 00:08:01","759","513","2","941","4","4","182","428","12","12","4","4","939","4670","110730","135185","110730","135185","",""
"2018-07-17T07:00:00+0000-339157679457669","2018-08-15 00:09:00","79","5359","17","5421","35","5438","244","277","340","116","139","247","695","179906","177987","133","157","263","713","179979","178057","21","32","52","32","52","2018-07-17 07:00:00","339157679457669","HARIBO USA","2018-08-15 00:08:28","1184","6","9","1175","86","85","","1169","76","78","","","1166","5403","179645","177292","179645","177292","",""
"2018-07-18T07:00:00+0000-145320618973967","2018-08-16 00:04:13","9","4505","41","4473","52","4514","62","83","97","38","58","118","383","18441","19858","38","58","118","383","18465","19882","","22","24","22","24","2018-07-18 07:00:00","145320618973967","Ooma Office","2018-08-16 00:03:58","1632","20","3","1671","1","1","39","1651","10","10","","","1668","4462","18329","19475","18329","19475","",""
