page_video_repeat_views,page_video_views_unique,page_video_views_click_to_play,page_video_views_autoplayed,page_video_views_organic,page_video_views,page_consumptions_unique,page_consumptions,page_engaged_users,page_posts_impressions_viral_unique,page_posts_impressions_viral,page_posts_impressions_organic_unique,page_posts_impressions_organic,page_posts_impressions_unique,page_posts_impressions,page_impressions_viral_unique,page_impressions_viral,page_impressions_organic_unique,page_impressions_organic,page_impressions_unique,page_impressions,page_views_logout,page_views_login_unique,page_views_login,page_views_unique,page_views,Date,Pageid,Pagename,page_video_complete_views_30s_unique,page_video_complete_views_30s_click_to_play,page_video_complete_views_30s_organic,page_video_complete_views_30s,page_fan_removes_unique,page_fan_removes,page_video_complete_views_30s_repeat_views,page_video_complete_views_30s_autoplayed,page_fan_adds_unique,page_fan_adds,page_negative_feedback_unique,page_negative_feedback,page_video_complete_views_30s_paid,page_video_views_paid,page_posts_impressions_paid_unique,page_posts_impressions_paid,page_impressions_paid_unique,page_impressions_paid,page_places_checkin_total_unique,page_places_checkin_total
56,148,8,196,204,204,1703,1703,1985,3907,5804,71194,130633,115275,181591,13731,19930,81843,144885,125262,196129,53,440,286,684,684,5/1/18,1.40326E+11,Bass Pro Shops,38,6,38,38,368,371,7,32,276,274,40,47,,,39066,50958,39066,50958,,
27,155,14,168,182,182,2128,2128,2267,3808,6028,85125,211458,133857,279392,11155,17368,91132,222824,141485,291029,60,375,271,623,623,5/2/18,1.40326E+11,Bass Pro Shops,45,10,45,45,415,416,4,35,302,295,47,65,,,48052,67934,48052,67934,,
47,138,15,170,185,185,1406,1406,1438,2408,3341,31097,61997,75509,125417,14959,21987,43697,80643,89716,144324,58,403,261,617,617,5/3/18,1.40326E+11,Bass Pro Shops,39,10,39,39,380,377,4,29,275,273,40,62,,,44335,63420,44335,63420,,
1679,21690,1238,22131,23369,23369,6346,6346,5240,33266,45494,99809,159357,147001,226260,35565,49095,102262,162958,149818,230170,69,533,309,740,740,5/4/18,1.40326E+11,Bass Pro Shops,3135,439,3135,3135,406,415,112,2696,275,277,53,82,,,47395,66903,47395,66903,,
169,3274,84,3359,3443,3443,1960,1960,1925,8424,10924,74032,117904,115403,174715,9775,13025,75609,120007,117107,177013,58,459,195,588,588,5/5/18,1.40326E+11,Bass Pro Shops,245,39,245,245,409,412,,206,269,276,30,33,,,40132,56811,40132,56811,,
166,1630,35,1761,1796,1796,1864,1864,1953,4775,6435,87300,139476,129305,199103,14917,21617,96612,154768,138729,214642,66,484,247,774,774,5/6/18,1.40326E+11,Bass Pro Shops,146,18,146,146,425,432,12,128,337,335,33,37,,,41403,59627,41403,59627,,
391,6792,91,7092,7183,7183,3157,3157,2976,5405,7289,108914,170286,148278,227827,16580,25020,123679,188047,164785,245844,73,414,255,662,662,5/7/18,1.40326E+11,Bass Pro Shops,753,63,753,753,404,399,22,690,293,292,55,63,,,40091,57541,40091,57541,,
902,11723,854,11771,12625,12625,3410,3410,4434,4616,5917,90602,152508,129635,208288,16815,23209,102674,169820,140553,225890,51,515,290,771,771,5/8/18,1.40326E+11,Bass Pro Shops,1479,170,1479,1479,444,441,49,1309,295,289,46,53,,,38035,55780,38035,55780,,
163,3329,47,3445,3492,3492,1716,1716,3455,2301,2920,54618,89648,91406,142590,14598,22132,67861,108862,105114,162069,76,420,265,724,724,5/9/18,1.40326E+11,Bass Pro Shops,261,21,261,261,409,404,23,240,295,291,28,37,,,34587,52942,34587,52942,,
290,16141,815,15616,1422,16431,4219,4219,4806,4039,5806,37763,55531,318039,390342,27063,40204,59391,89929,342233,424985,45,446,245,702,702,5/10/18,1.40326E+11,Bass Pro Shops,2357,415,181,2357,454,458,13,1942,312,312,20,22,2176,15009,287981,334811,287981,334811,,
